title,link,snippet,rank_serp
Azuria Water Solutions Announces the Acquisition of TSW ...,https://www.azuria.com/news/2025/april/azuria-acquires-tsw-utility-solutions-am-liner-east-and-ck-masonry,"Azuria acquires TSW Utility Solutions, AM-Liner East., and C.K. Masonry Company.",1
Azuria Water Solutions Announces the Acquisition of BLD,https://www.globenewswire.com/news-release/2025/06/16/3100184/0/en/Azuria-Water-Solutions-Announces-the-Acquisition-of-BLD-Services-LLC.html,"Azuria Water Solutions has acquired BLD Services, LLC, of Kenner, Louisiana....",2
Azuria Water Solutions: Over 50 Years of Innovation,https://www.azuria.com/,Azuria Announces Acquisition of Infrastructure Services Group LLC and Subsidiaries · Azuria Announces the Acquisition of Oxbow Construction · Aegion Rebrands as ...,3
Azuria Water Solutions Announces the Acquisition of Pipe ...,https://www.azuria.com/news/2024/december/azuria-announces-acquisition-of-pipe-pros-llc,Azuria Water Solutions Announces the Acquisition of Pipe Pros LLC. The North American Leader in Technology-Enabled Water Solutions Continues ...,4
Azuria Water Solutions Announces the Acquisition of TSW,https://www.globenewswire.com/news-release/2025/04/21/3064780/0/en/Azuria-Water-Solutions-Announces-the-Acquisition-of-TSW-Utility-Solutions-Inc-AM-Liner-East-Inc-and-C-K-Masonry-Company-Inc.html,"Azuria Water Solutions Announces the Acquisition of TSW Utility Solutions, Inc., AM-Liner East, Inc., and C.K. Masonry Company, Inc. · A Leader ...",5
Azuria News,https://www.azuria.com/news,"Azuria Water Solutions Announces the Acquisition of TSW Utility Solutions, Inc., AM-Liner East, Inc., and CK Masonry Company, Inc.",6
"Aegion Rebrands as Azuria Water Solutions, Signaling a ...",https://www.azuria.com/news/2024/april/aegion-rebrands-as-azuria-water-solutions,"The North American Leader in Technology-Enabled Water Solutions Celebrates Its 11th Acquisition Since 2022. ST. LOUIS (April 25, 2024) ...",7
Azuria Water Solutions Continues to Grow,https://trenchlesstechnology.com/azuria-water-solutions-continues-to-grow-with-recent-acquisitions/,"On Nov. 6, Azuria announced that it acquired a portion of Miller Pipelines' Municipal Services Division including its Weko-Seal product line.",8
"Azuria Water Solutions company information, funding & ...",https://app.dealroom.co/companies/aegion_corporation,Azuria Water Solutions Acquires Three Companies. Apr 2025 ; Azuria acquires North American Pipeline Management. Nov 2024 ; Azuria Acquires ISG and Subsidiaries.,9
Azuria Grows its Service Area with Recent Acquisitions,https://trenchlesstechnology.com/azuria-grows-its-service-area-with-recent-acquisitions/,Azuria Water Solutions recently grew its portfolio with the acquisitions of Oxbow Construction and Infrastructure Services Group LLC.,10
Growing Focus on Water Drives M&A and Strategic ...,https://www.bluefieldresearch.com/growing-focus-on-water-drives-ma-and-strategic-rebranding/,"Aegion rebrands, seeking to clarify water focus. In April 2024, Aegion Corporation announced its rebrand as Azuria Water Solutions. A market ...",11
Azuria Water Solutions Announces Acquisition of North ...,https://www.azuria.com/news/2024/november/azuria-announces-acquisition-of-napm,"ST. LOUIS (November 15, 2024) – Azuria Water Solutions™ the leading provider of infrastructure maintenance, rehabilitation and technology-enabled water ...",12
Water Investor's Monthly July 2024,https://industria-partners.com/water-investors-monthly/water-investors-monthly-july-2024/,"6/11/24: Azuria Water Solutions acquired Infrastructure Services Group, a firm that acquires and funds private companies that specialize in ...",13
TSW Utility Solutions acquired by Azuria Water Solutions,https://www.crunchbase.com/acquisition/azuria-water-solutions-acquires-tsw-utility-solutions--f69f5a99,Azuria Water Solutions acquires TSW Utility Solutions on 2025-04-21 for an undisclosed amount.,14
Articles from Azuria Water Solutions | FinancialContent,https://www.financialcontent.com/article/publisher/Azuria%20Water%20Solutions,"Azuria Water Solutions Announces Acquisition of North American Pipeline Management, Inc. ... LOUIS, April 25, 2024 (GLOBE NEWSWIRE) -- Aegion Corporation ...",15
Azuria Water Solutions Announces the Acquisition of ...,https://finance.yahoo.com/news/azuria-water-solutions-announces-acquisition-150600544.html,"The North American Leader in Technology-Enabled Water Solutions Continues ExpansionST. LOUIS, Nov. 18, 2024 (GLOBE NEWSWIRE) -- Azuria Water ...",16
Azuria Water Solutions acquires BLD Services - 2025-06-16,https://www.fundz.net/acquisitions/acquires-a15f,"Azuria Water Solutions has announced the acquisition of BLD Services, LLC, a major player in pipeline rehabilitation.",17
"Azuria Water Solutions, Inc. Credit Rating | S&P Global Ratings",https://disclosure.spglobal.com/ratings/en/regulatory/instrument-details/sectorCode/CORP/entityId/687129/issueId/1659112,The company delivered strong revenue growth in 2024 of 7.4% because of service expansion and acquisitions. The company's strategic shift toward water solutions ...,18
Azuria Water Solutions Announces the Acquisition of a ...,https://www.azuria.com/news/2024/november/azuria-announces-acquisition-of-portion-of-miller-pipeline-msd-and-wekoseal,"ST. LOUIS (November 6, 2024) – today announced the acquisition of assets comprised of a portion of Miller Pipeline LLC's municipal services division ...",19
Aegion Corp. Rebrands as Azuria Water Solutions,https://www.linkedin.com/posts/aegion-corporation_aegion-corp-rebrands-as-azuria-water-solutions-activity-7190792415090253827-bV17,"Last week, we rebranded to Azuria Water Solutions but we also acquired an awesome new company, Leak Eliminators, LLC!",20
"Azuria Water Solutions - Products, Competitors, Financials, ...",https://www.cbinsights.com/company/aegion,"Azuria Water Solutions, a Chesterfield-based infrastructure repair company, has expanded its holdings in several states with three acquisitions. Apr 22, 2025.",21
Aegion rebrands as Azuria Water Solutions to focus on ...,https://undergroundinfrastructure.com/news/2024/april/aegion-rebrands-as-azuria-water-solutions-to-focus-on-water-infrastructure-solutions,"Under the new Azuria Water Solutions brand, the company will focus on developing edge technologies that improve the efficiency, longevity, ...",22
Organizational Announcement,https://www.pucc.org/blog/57-organizational-announcement,Today we are excited to announce the rebranding of Aegion to Azuria Water Solutions. The new name represents the next phase of the company's ...,23
Azuria Water Solutions Company Profile - Overview,https://www.globaldata.com/company-profile/aegion-corp/,"Azuria Water Solutions (Azuria), formerly Aegion Corp, is a provider of infrastructure services. It carries out the maintenance, construction, procurement, ...",24
